"","RP.Int.January.M1","RP.Int.February.M1","RP.Int.March.M1","RP.Int.April.M1","RP.Int.May.M1","RP.Int.June.M1","RP.Int.July.M1","RP.Int.August.M1","RP.Int.September.M1","RP.Int.October.M1","RP.Int.November.M1","RP.Int.December.M1","RP.Int.January.M2","RP.Int.February.M2","RP.Int.March.M2","RP.Int.April.M2","RP.Int.May.M2","RP.Int.June.M2","RP.Int.July.M2","RP.Int.August.M2","RP.Int.September.M2","RP.Int.October.M2","RP.Int.November.M2","RP.Int.December.M2","RP.Int.January.M3","RP.Int.February.M3","RP.Int.March.M3","RP.Int.April.M3","RP.Int.May.M3","RP.Int.June.M3","RP.Int.July.M3","RP.Int.August.M3","RP.Int.September.M3","RP.Int.October.M3","RP.Int.November.M3","RP.Int.December.M3"
"Data_Aalborg.csv",0.0176630596165365,0.0395928222481844,0.0141468058914832,0.0268139180450838,-0.0445856583523577,0.0052011639754639,0.00514012697882925,0.00349642576245454,0.0142114269800381,0.0151538227287398,0.0202610445402672,0.000125392684812403,0.0842956989573778,0.100593733520031,0.069113844622591,0.0571257737760269,-0.00772123550124264,0.0360720865960401,0.0418015136641439,0.03667928031683,0.0429868182176966,0.0479434561980716,0.0607190786179245,0.0501430091005788,0.155240318680438,0.16538308337922,0.12436511914645,0.0854916960421752,0.0274546229371154,0.0683813572861816,0.080736065373623,0.0694300184224588,0.070931515800606,0.082127047145294,0.101265416605125,0.106353443782908
"Data_Abbeville.csv",-0.0595480294010715,-0.0149096675337811,-0.0576309460444123,-0.0159694295868987,-0.0392505475743175,0.0355135112714989,0.00593231194164329,-0.0177353088008655,0.00451181289020525,0.0164564379957783,-0.0344328900528741,-0.0190291484082215,0.0191822709791313,0.0690332022842698,-0.000457162207923821,0.0405528516161226,0.0141611024293224,0.0613112673964983,0.0539832191882362,0.0263277393879567,0.0511519078473729,0.0754254128884696,0.0218021042430963,0.0525915996425374,0.0965652100453362,0.151036786342115,0.0552273886392328,0.0977436750980116,0.0657302309493952,0.0861649822875067,0.103191434238122,0.0713267608728439,0.100134312426867,0.133708531190082,0.0764656817986575,0.118794833491852
"Data_Abeche.csv",NA,NA,NA,NA,NA,-0.00227272727272714,0.0204545454545451,0.00681818181818193,-0.0209667050036928,-0.0159090909090907,NA,-0.00681818181818158,NA,NA,NA,NA,NA,-0.00227272727272714,0.0204545454545451,0.00681818181818193,-0.0151320243737312,-0.0159090909090907,NA,-0.00681818181818158,NA,NA,NA,NA,NA,-0.00227272727272714,0.0204545454545451,0.00681818181818193,-0.00941308825140632,-0.0159090909090907,NA,-0.00681818181818158
"Data_Aberdeen Regional Airport.csv",-0.0451852357962934,-0.212967790542388,-0.138413834342804,-0.528837325749073,-0.11427660229417,-0.0145383969125102,0.00292507897346858,-0.0354891082919006,-0.0323748714379182,-0.151507603288784,-0.0556098213447056,-0.0552565732492034,0.121243115656963,-0.018729070323711,0.0986024844720571,-0.185443037974688,-0.0351734012090375,0.070284316722716,0.0669571045576406,0.031997708431626,0.0296905053331001,-0.0450682328554158,0.0829670329670414,0.1335311892942,0.263766223511103,0.18772578696257,0.332024941770203,0.142417691475718,0.0473998583463073,0.156053264254648,0.137269284485986,0.101440384201903,0.0889548024654446,0.0608688504812869,0.231496799903409,0.318864196885183
"Data_Aberporth.csv",-0.0260889385092597,-0.0294751996005298,-0.0506950175225795,-0.0050195998394412,-0.0386219044464312,0.00215532206372339,-0.0142432050710619,-0.0314946725684233,0.0070979607235242,0.00204206608719254,-0.0248222225705501,-0.0278053228344113,0.0196523309628624,0.0283271249576698,-0.00492154870752891,0.0384496563898864,-0.00198359670953508,0.0276464283462618,0.0231069919929345,0.0135048231511219,0.0362682050312025,0.0521436227223993,0.0232348263490773,0.0193075545532916,0.069526128505381,0.0887211344122216,0.0398328942160551,0.0810978313308006,0.0345333555135273,0.0556272599729321,0.0644684466288926,0.0572158050211516,0.0654155623625246,0.0983729153789316,0.0724884571805284,0.0688428550743935
"Data_Abidjan.csv",-0.00179805654839332,-0.0550107708331939,-0.0633783520761242,-0.024870948771346,-0.0198603653439753,-0.0302833188420207,-0.00196129346433786,0.00942678805636134,-0.000327538777372995,-0.0318285193000621,-0.0556822725788938,-0.0306971723176472,0.0308536317752905,0.00352629115306563,-0.014411764705882,0.0249387755102033,0.0128137384412155,0.00699719135425605,0.0257213014119094,0.0374906367041193,0.0255599043270276,-0.00446337741607332,-0.0327179890023577,0.000604040824827717,0.065558868322825,0.0606205088408288,0.0368400302768167,0.0740782553102872,0.0470974651600475,0.0408304310943968,0.0560399934153368,0.0660051252647665,0.0491895883753999,0.022798951670709,-0.00845191870987935,0.0343195765623011
"Data_Abong-Mbang.csv",NA,-1.29999999999954,0.299999999999894,-0.499999999999824,NA,-0.699999999999747,-0.399999999999856,3.52436509628282e-15,-0.399999999999856,-0.399999999999856,3.10256164326163e-15,-0.799999999999719,NA,-1.29999999999954,0.299999999999894,-0.499999999999824,NA,-0.699999999999747,-0.399999999999856,3.52436509628282e-15,-0.399999999999856,-0.399999999999856,3.10256164326163e-15,-0.799999999999719,NA,-1.29999999999954,0.299999999999894,-0.499999999999824,NA,-0.699999999999747,-0.399999999999856,3.52436509628282e-15,-0.399999999999856,-0.399999999999856,3.10256164326163e-15,-0.799999999999719
"Data_Acajutla.csv",0.0321493266666664,0.00960302640205857,0.0195491024272213,0.013056891318206,-0.00901982712462317,-0.00965616675992464,0.0219157176268036,0.00905437116441843,0.0216525499733429,0.0246234127364839,-0.00257056184150815,0.0403350446565816,0.0555999999999998,0.0295790934320074,0.0347304347826087,0.0226102374344744,0.0170830708936949,0.00902608695652166,0.0330974466864301,0.02377575969263,0.0371999617481115,0.0328556521739131,0.0185008683009577,0.0583444402132522,0.0882784399999998,0.0499643607697138,0.0538850347977315,0.0341163728532594,0.0375837731301785,0.024627879168242,0.0474151514159977,0.0394079531733785,0.0530413154828909,0.0427158463576562,0.0423996997785655,0.0789507556139805
"Data_Acapulco, Gro..csv",0.0255667884374434,-0.00136635131924703,0.046180770347949,-0.0407434883357575,-0.00169431952784305,-0.0263654222550029,-0.000624572690353487,-0.0186094891246578,0.0232656220240695,0.000264667196759015,-0.00251863293456815,0.0169828042256338,0.0708872866391999,0.057082090376753,0.104048886556198,0.0375034394203433,0.0451964616334095,0.0146344285053211,0.0273487157161517,0.0113142063859314,0.0607796101949024,0.0275961670716612,0.0346817922374425,0.0601474582848259,0.11596278540217,0.116012034422512,0.165775960483366,0.110055634635083,0.0928515928896153,0.0562494934001561,0.0564748683382335,0.0462724503262458,0.0959805624174415,0.0550595316764259,0.0704104698185753,0.101950965934132
"Data_Ada.csv",NA,-0.999999999999638,0.0999999999999646,-1.29999999999954,NA,-1.59999999999943,-0.89999999999968,-1.99999999999929,-1.49999999999947,-1.19999999999957,-1.09999999999961,-1.3999999999995,NA,-0.999999999999638,0.0999999999999646,-1.29999999999954,NA,-1.59999999999943,-0.89999999999968,-1.99999999999929,-1.49999999999947,-1.19999999999957,-1.09999999999961,-1.3999999999995,NA,-0.999999999999638,0.0999999999999646,-1.29999999999954,NA,-1.59999999999943,-0.89999999999968,-1.99999999999929,-1.49999999999947,-1.19999999999957,-1.09999999999961,-1.3999999999995
