,latitude,longitude,name
12906,-22.0167,166.2167,La Tontouta Nlle-Caledonie
13023,-23.4333,-70.4333,Antofagasta
13035,-22.5,-68.9,Calama
13039,-23.15,-64.3167,Oran Aerodrome
13056,-23.6167,-46.65,Sao Paulo/Congonhas Aeroporto
13248,-23.6,145.3,Barcaldine
13254,-23.9,151.2,Gladstone Airport
13395,-22.1,-65.6,La Quiaca Observatorio
13399,-22.65,-63.8167,Tartagal Aerodrome
13402,-22.0167,-60.6,Mariscal Estigarribia
13411,-23.3333,-51.1333,Londrina Aeroporto
13415,-23.0,-47.1333,Campinas Aeroporto
13417,-22.7833,-45.2,Guaratingueta
13418,-22.9333,-43.7167,Rio De Janeiro-Santa Cruz Ab
13427,-20.2667,-40.2833,Vitoria Aeroporto
13572,-22.2,114.1,Learmonth
13601,-22.9167,139.9,Boulia
13606,-23.4,144.3,Longreach
13756,-21.55,-64.7,Tarija
13757,-21.95,-63.65,Yacuiba
13774,-21.9833,-47.3333,Pirassununga
13842,-21.7,21.65,Ghanzi
13848,-21.2167,27.5,Francistown
13855,-22.0,35.3167,Vilanculos
13863,-21.75,43.3667,Morombe
13868,-21.45,47.1,Fianarantsoa
13870,-21.2,48.3667,Mananjary
14088,-13.75,-76.2833,Pisco
14104,-20.5333,-70.1833,Iquique / Diego Arac
14116,-21.25,-63.45,Villamontes
14132,-21.13,-47.78,Palmeiras
14203,-19.9833,23.4167,Maun
14213,-20.2,32.6167,Chipinge
14214,-19.8,34.9,Beira
14234,-20.8833,55.5167,Saint-Denis / Gillot
14319,-20.7,139.5,Mount Isa
14326,-20.0,146.3,Charters Towers
14330,-21.2,149.2,Mackay Racecourse
14387,-17.55,-149.6167,Tahiti-Faaa
14464,-17.0333,-72.0167,Mollendo / La Isla
14473,-19.55,-65.7333,Potosi
14476,-20.0,-63.5333,Camiri
14484,-20.4667,-54.6667,Campo Grande Aeroporto
14570,-20.0667,30.8667,Masvingo
14577,-17.8833,36.8833,Quelimane
14586,-19.8167,47.0667,Antsirabe
14657,-20.4,118.6,Port Hedland
14672,-19.6,134.2,Tennant Creek
14682,-20.7,143.1,Richmond
14708,-19.5333,169.25,Burtonfield Tanna
14805,-12.0,-77.1167,Lima-Callao / Aerop. Internacional Jorgechavez
14827,-18.3333,-70.3333,Arica
14830,-17.9667,-67.0667,Oruro
14836,-17.8,-63.1833,Santa Cruz / El Trompillo
14837,-17.8,-60.7333,San Jose De Chiquitos
14838,-18.3167,-59.7667,Robore
14840,-18.9833,-57.8167,Puerto Suarez
14931,-19.1167,33.4667,Chimoio
14948,-18.1167,49.4,Tamatave
15045,-19.2,146.8,Townsville
15187,-18.0667,-70.3,Tacna
15191,-17.4167,-66.1833,Cochabamba
15195,-17.6333,-63.1333,Viru-Viru
15282,-17.8167,25.15,Kasane
15288,-17.9167,31.1333,Harare Kutsaga
15308,-17.0833,49.8167,Sainte-Marie Aerodrome
15379,-18.0,122.2,Broome Port
15396,-17.7,139.5,Burketown Airport
15423,-17.7,168.3,Bauerfield Efate
15435,-18.05,178.5667,Nausori
15523,-9.1667,-78.5167,Chimbote
15548,-16.5167,-68.1833,La Paz / Alto
15554,-16.15,-62.0167,Concepcion
15555,-16.3833,-60.9667,San Ignacio De Velasco
15560,-15.65,-56.1,Cuiaba Aeroporto
15642,-17.8167,25.8167,Livingstone
15661,-16.75,44.4833,Besalampy
15745,-16.6,128.5,Argyle
15783,-16.4167,167.8,Lamap Malekula
15803,-14.3333,-170.7167,Pago Pago / Int. Airport
15903,-16.3167,-71.55,Arequipa
15905,-15.4833,-70.15,Juliaca
15908,-14.8667,-66.8667,San Borja
15910,-14.8167,-64.9167,Trinidad
15911,-15.7167,-63.1,Ascencion De Guarayos
15989,-14.9333,13.5667,Lubango Sa Da Bandeira
16012,-14.8167,36.5333,Cuamba
16021,-15.6667,46.35,Majunga
16026,-14.8833,50.25,Antalaha
16104,-15.8,128.7,Kununurra Airport
16140,-15.5167,167.2167,Pekoa Airport Santo
16265,-14.7333,-68.5,Apolo
16300,-12.9,-38.3333,Salvador Aeroporto
16356,-15.25,23.15,Mongu
16446,-8.75,115.1667,Denpasar / Ngurah-Rai
16466,-14.45,132.2667,Katherine / Tindal
16602,-6.7833,-79.8333,Chiclayo
16621,-13.55,-71.9833,Cuzco
16625,-14.4667,-67.5667,Rurrenabaque
16627,-13.7667,-65.4333,Santa Ana
16725,-13.55,32.5833,Chipata
16737,-12.8,45.2833,Dzaoudzi / Pamanzi Mayotte
16743,-14.2833,50.1667,Sambava
16811,-9.6667,120.3333,Waingapu / Mau Hau
16812,-10.5,121.8333,Sabu / Tardamu
16830,-14.0,136.5,Groote Eylandt Airport
16857,-13.85,167.55,Sola Vanua Lava
16866,-12.5,177.05,Rotuma
16963,-8.1,-79.0333,Trujillo
16977,-13.1333,-74.2167,Ayacucho
16983,-12.6333,-69.2,Puerto Maldonado
16987,-13.0667,-64.8167,San Joaquin
16988,-13.3333,-64.1167,Magdalena
17087,-13.3,35.2333,Lichinga
17092,-12.9833,40.5333,Pemba
17095,-11.5333,43.2667,Hahaya International Airport
17099,-13.3167,48.3167,Fascene Nossi-Be
17101,-12.35,49.3,Diego-Suarez
17174,-10.7333,123.0667,Rote / Baa
17189,-12.3,136.8,Gove Airport
17343,-11.0333,-68.7833,Cobija
17344,-11.0,-66.1167,Riberalta
17351,-12.7,-60.1,Vilhena Aeroporto
17375,-10.9833,-37.0667,Aracaju Aeroporto
17382,-8.0667,-34.85,Recife Aeroporto
17434,-11.75,24.4333,Mwinilunga
17438,-11.6667,27.4833,Lubumbashi-Luano
17447,-10.6833,35.5833,Songea
17542,-12.4,130.9,Darwin Airport
17553,-12.6,142.1,Scherger
17558,-9.4333,147.2167,Moresby
17694,-9.9,-75.75,Huanuco
17801,-10.2167,31.1333,Kasama
17879,-7.7333,109.0167,Cilacap
17888,-8.55,118.7,Bima
18041,-4.5667,-81.25,Talara
18051,-9.35,-77.6,Anta Huaraz
18061,-10.0,-67.8,Rio Branco
18073,-9.8667,-56.1,Alta Floresta Aeroporto
18103,-3.85,-32.4167,Fernando De Noronha
18134,-8.85,13.2333,Luanda
18169,-10.2667,40.1833,Mtwara
18252,-10.1667,123.6667,Kupang / El Tari
18268,-8.4667,140.3833,Merauke / Mopah
18412,-9.1333,-75.95,Tingo Maria
18413,-8.4167,-74.6,Pucallpa
18423,-8.7667,-63.9167,Porto Velho Aeroporto
18436,-8.25,-49.2833,Conceicao Do Araguaia
18450,-9.4,-38.2167,Paulo Afonso
18605,-8.4333,117.4167,Sumbawa Besar / Sumbawa Besar
18610,-8.6333,122.25,Maumere / Wai Oti
18617,-7.9833,131.3,Saumlaki
18769,-7.1333,-78.4667,Cajamarca
18770,-7.2167,-76.7167,Juanjui
18775,-7.6333,-72.6667,Cruzeiro Do Sul
18868,-6.4167,20.85,Tshikapa
18870,-6.1667,23.6167,Mbuji-Mayi
18950,-5.2667,105.1833,Telukbetung / Beranti
18963,-8.5333,116.0667,Ampenan / Selaparang
18970,-8.2667,122.9667,Larantuka
18971,-8.2167,124.5667,Alor / Mali
18983,-4.7167,136.4333,Kokonao / Timuka
19130,-6.45,-76.3833,Tarapoto
19145,-5.8167,-61.3,Manicore
19171,-7.1,-34.8667,Joao Pessoa
19224,-5.0333,18.8,Kikwit
19228,-5.8833,22.4167,Kananga
19245,-6.8667,39.2,Dar Es Salaam Airport
19316,-6.9833,110.3833,Semarang / Ahmadyani
19318,-7.2167,112.7167,Surabaya / Perak
19344,-6.1,140.3,Tanah Merah / Tanah Merah
19352,-6.5667,146.7167,Nadzab
19483,-5.1833,-80.6,Piura
19487,-6.2167,-77.8333,Chachapoyas
19489,-5.9,-76.0833,Yurimaguas
19516,-5.35,-49.15,Maraba
19598,-5.0833,32.8333,Tabora Airport
19600,-6.1667,35.7667,Dodoma
19604,-6.2167,39.2167,Zanzibar / Kisauni
19615,-4.6667,55.5167,Seychelles International Airport
19668,-3.8833,102.3333,Bengkulu / Padangkemiling
19686,-5.4667,122.6167,Bau-Bau / Beto Ambiri
19692,-3.7,128.0833,Ambon / Pattimura
19837,-0.9,-89.6,San Cristobal Galapagos
19850,-3.75,-73.25,Iquitos
19856,-4.1667,-69.95,Leticia / Vasquez Cobo
19881,-5.05,-42.8167,Teresina Aeroporto
19919,4.4167,-7.3667,Tabou
19921,4.8667,-2.2333,Axim
19935,-4.8167,11.9,Pointe-Noire
19940,-4.3833,15.4333,Kinshasa / N'Djili
20040,-3.4,116.2167,Kotabaru
20042,-5.0667,119.55,Ujung Pandang / Hasanuddin
20050,-3.25,127.0833,Namlea
20058,-3.6667,133.75,Kaimana / Utarom
20062,-4.0667,138.95,Wamena / Wamena
20223,-3.15,-59.9833,Manaus Aeroporto
20230,-3.2,-52.2,Altamira
20234,-3.7167,-49.7167,Tucurui
20289,-0.7,8.75,Port-Gentil
20295,-4.2,12.7,Loubomo
20297,-3.9833,13.9167,Mouyondzi
20298,-4.25,15.25,Brazzaville / Maya-Maya
20300,-3.3,17.35,Bandundu
20320,-3.4167,37.0667,Kilimanjaro Airport
20322,-4.0333,39.6167,Mombasa
20324,-3.2333,40.1,Malindi
20371,1.5,97.6333,Gunung Sitoli / Binaka
20384,-2.7667,101.3667,Kerinci / Depati Parbo
20390,-2.75,107.75,Tanjungpandan / Buluh Tumbang
20393,-2.7,110.7,Pangkalan Bun / Iskandar
20396,-3.4333,114.75,Banjarmasin / Syamsuddin Noor
20405,-4.1,122.4333,Kendari / Woltermon-Ginsidi
20415,-2.8833,132.25,Fak-Fak / Torea
20419,-3.9167,136.3667,Enarotali
20563,-2.8833,-78.9833,Cuenca / Mariscal Lamar
20582,-3.0333,-60.05,Eduardo Gomes International
20598,-2.6,-44.2333,Sao Luiz Aeroporto
20641,4.8833,-1.7667,Takoradi
20653,-2.85,11.0167,Tchibanga
20654,-3.4833,12.6167,Makabana
20656,-2.5333,14.7667,Djambala
20658,-2.6167,16.2167,M'Pouya
20674,-2.4667,32.9167,Mwanza
20746,-2.9,104.7,Palembang / Talangbetutu
20748,-2.1667,106.1333,Pangkalpinang / Pangkalpinang
20766,-1.6167,124.55,Labuha / Taliabu
20780,-1.8333,138.7167,Sarmi
20782,-2.5667,140.4833,Jayapura / Sentani
20788,-2.0167,146.9833,Bipi
20792,-2.5833,150.85,Kavieng / Maiom
20921,-2.15,-79.8833,Guayaquil / Simon Bolivar
20926,-0.9167,-75.4,Nuevo Rocafuerte
20946,-2.4333,-54.7167,Santarem-Aeroporto
21011,-1.8667,11.0167,Mouila
21017,-1.8667,15.8667,Gamboma
21031,-1.9667,30.1167,Kigali
21089,4.25,96.1167,Meulaboh / Cut Nyak Dhien
21104,-1.6333,103.65,Jambi / Sultan Taha
21111,-1.85,109.9667,Ketapang / Rahadi Usmaman
21114,-1.0,114.0,Palangkaraya / Panarung
21116,-0.95,114.9,Muaratewe / Beringin
21124,-0.9,122.7833,Luwuk / Bubung
21131,-0.9333,131.1167,Sorong / Jefman
21135,-0.8833,134.05,Manokwari / Rendani
21136,-1.8667,136.2333,Serui / Yendosa
21277,-0.95,-80.6833,Manta
21281,-0.9167,-78.6167,Latacunga
21310,0.0333,-50.05,Macapa
21370,-0.7167,10.2333,Lambarene
21372,-0.8333,12.7167,Lastoursville
21399,-0.4667,39.6333,Garissa
21462,0.4667,102.3167,Rengat / Japura
21465,-0.4833,104.5833,Singkep / Dabo
21477,-1.2667,116.9,Balikpapan / Sepinggan
21478,-0.6167,117.15,Samarinda / Temindung
21479,-0.6833,119.7333,Palu / Mutiara
21481,-1.3833,120.7333,Poso / Kasiguncu
21488,0.7833,127.3833,Ternate / Babullah
21496,-1.1833,136.1167,Biak / Mokmer
21728,0.45,9.4167,Libreville
21735,-0.0167,15.5833,Makoua
21751,0.05,32.45,Entebbe Airport
21754,-0.1,34.75,Kisumu
21755,-0.2667,36.1,Nakuru
21818,1.55,98.8833,Sibolga / Pinangsori
21820,0.4667,101.45,Pakanbaru / Simpangtiga
21827,-0.15,109.4,Pontianak / Supadio
21830,0.1167,111.5333,Sintang
21840,1.0167,120.8,Toli-Toli / Lalos
21841,0.5167,123.0667,Gorontalo / Jalaluddin
21970,16.8333,-99.9333,"Acapulco, Gro."
22001,1.4167,-77.2667,Pasto / Antonio Narin
22073,4.95,-6.0833,Sassandra
22091,0.5667,12.8667,Makokou
22094,1.6167,16.05,Ouesso
22096,1.6167,18.0667,Impfondo
22113,1.0167,35.0,Kitale
22114,0.5333,35.2833,Eldoret
22182,1.1167,104.1167,"Batan, Sumatra"
22183,0.9167,104.5333,Tanjungpinang / Kijang
22189,1.4833,110.3333,Kuching
22194,2.1167,117.45,Tanjung Redep / Berau
22207,1.8167,127.8333,Galela / Gamarmalamu
22426,6.25,-10.35,"Grand Bassa, Roberts Field"
22433,5.25,-3.9333,Abidjan
22438,5.6167,0.0,Tema
22446,1.9,9.8,Bata Rio Municipal
22448,2.0833,11.4833,Bitam
22450,2.0667,14.1333,Souanke
22473,3.1167,35.6167,Lodwar
22479,3.9333,41.8667,Mandera
22538,2.7333,101.7,Sepang/KL International Airport
22539,2.2667,102.25,Malacca
22540,1.6333,103.6667,Johore Bharu / Senai
22541,2.45,103.8333,Mersing
22549,2.3333,111.8333,Sibu
22561,1.5333,124.9167,Menado / Dr. Sam Ratulangi
22720,3.55,-76.3833,Cali / Alfonso Bonillaaragon
22721,2.9667,-75.3,Neiva / Benito Salas
22734,2.8333,-60.7,"Boa Vista, Boa Vista Intl"
22773,8.6167,-13.2,Lungi
22790,4.75,-6.65,San Pedro
22798,5.7833,0.6333,Ada
22804,3.75,8.7667,Malabo/Fernando Poo
22812,4.25,15.8,Berberati
22835,3.5333,39.05,Moyale
22873,4.2,73.5333,Male
22888,5.5167,95.4167,Banda Aceh / Blangbintang
22894,3.5667,98.6833,Medan / Polonia
22899,3.6167,103.2167,Kuantan
22909,3.2,113.0333,Bintulu
22913,2.85,117.3333,Tanjung Selor
22914,3.3333,117.5667,Tarakan / Juwata
22920,3.5833,125.4667,Tahuna
23079,4.5,-75.7167,Armenia / El Eden
23081,4.1667,-73.6167,Villavicencio / Vanguardia
23102,4.8333,-52.3667,Cayenne / Rochambeau
23132,12.4,-16.75,Cap-Skirring
23162,4.85,7.0167,Port Harcourt
23165,4.0,9.7333,Douala Obs.
23173,4.4,18.5167,Bangui
23187,4.8667,31.6,Juba
23255,4.2167,100.7,Sitiawan
23269,4.3333,113.9833,Miri
23273,4.2667,117.8833,Tawau
23287,7.3667,134.5333,"Babelthuap Island, Babelthuap/Koror Airport"
23294,9.4833,138.0833,"Yap Island, Yap Int. Airp."
23437,5.7167,-76.6167,Quibdo / El Carano
23460,5.5,-54.0333,Saint-Laurent-Du-Maroni
23511,5.3,-3.3,Adiake
23517,6.35,2.3833,Cotonou
23611,5.2333,97.2,Lhokseumawe / Malikussaleh
23614,5.3,100.2667,Penang / Bayan Lepas
23615,4.5667,101.1,Ipoh
23617,5.3833,103.1,Kuala Trengganu
23629,4.9333,114.9333,Brunei Airport
23630,5.3,115.25,Labuan
23633,5.9,118.0667,Sandakan
23637,6.9,122.0667,Zamboanga
23665,7.4667,151.85,"Weno Island, Chuuk Int. Airp."
23797,6.2167,-75.6,Medellin / Olaya Herrera
23798,6.1333,-75.4333,Rionegro / J. M. Cordova
23799,7.0167,-73.8,Barrancabermeja / Yariguies
23800,7.1,-73.2,Bucaramanga / Palonegro
23803,7.0667,-70.7333,Arauca / Santiago Perez
23805,6.1667,-67.5,Puerto Carreno / A. Guauquea
23814,6.5,-58.25,Timehri Airport
23853,11.5833,-15.4833,Bolama
23865,7.3833,-7.5167,Man
23866,6.8667,-6.4667,Daloa
23867,6.1333,-5.95,Gagnoa
23868,6.65,-4.7,Dimbokro
23870,6.2,-2.3333,Sefwi Bekwai
23872,5.9333,-0.9833,Akim Oda
23873,6.1,0.1167,Akuse
23876,6.5833,3.3333,Lagos / Ikeja
23888,5.9667,15.6333,Bouar
23968,5.8667,95.3167,Sabang / Cut Bau
23972,6.3333,99.7333,Langkawi
23975,6.1667,102.2833,Kota Bharu
23989,5.9333,116.05,Kota Kinabalu
23990,6.9167,116.8333,Kudat
24000,7.1167,125.65,Davao Airport
24140,13.5667,-89.8333,Acajutla
24155,7.8167,-76.7,Apartado / Los Cedros
24167,8.15,-63.55,Ciudad Bolivar
24173,6.8,-58.15,Georgetown
24223,7.7333,-8.8333,N'Zerekore
24227,6.9,-5.35,Yamoussoukro
24229,7.3333,-2.3333,Sunyani
24232,6.6,0.4667,Ho
24233,7.5833,1.1167,Atakpame
24234,7.1667,2.0667,Bohicon
24241,7.6833,8.6167,Makurdi
24245,7.35,13.5667,Ngaoundere
24268,7.6667,36.8333,Jimma
24308,8.4667,76.95,Thiruvananthapuram
24337,9.1667,105.1667,Ca Mau
24518,7.9333,-72.5167,Cucuta / Camilo Daza
24520,8.6,-71.1833,Merida
24521,8.6167,-70.2167,Barinas
24522,9.0167,-69.7333,Guanare
24574,9.5667,-13.6167,Conakry / Gbessia
24581,8.5333,-9.4667,Macenta
24585,7.7333,-5.0667,Bouake
24588,8.05,-2.7833,Bondoukou
24589,7.75,-2.1,Wenchi
24593,8.0333,2.4667,Save
24598,9.25,7.0,Abuja
24606,8.6167,16.0667,Moundou
24609,9.15,18.3833,Sarh
24627,8.1667,35.55,Gore
24672,8.5833,81.25,Trincomalee
24688,8.1167,98.3167,Phuket Airport
24692,7.2,100.6,Songkhla
24699,10.9333,108.1,Phan Thiet
24806,19.7167,-155.05,Hilo International Airport
24871,9.05,-79.3667,Tocumen
24874,8.8167,-75.85,Monteria / Los Garzones
24942,9.5,-7.5667,Odienne
24944,9.4167,-5.6167,Korhogo
24946,9.0333,-2.4833,Bole
24949,9.5,-0.85,Tamale
24951,8.9833,1.15,Sokode
24952,9.35,2.6167,Parakou
24954,8.4833,4.5833,Ilorin
24959,9.8667,8.9,Jos
24962,9.2333,12.4667,Yola
24963,9.3333,13.3833,Garoua
24988,8.9833,38.8,Addis Ababa
24992,9.6,41.8667,Dire Dawa
25049,9.1167,99.35,Surat Thani
25053,10.2167,103.9667,Phu Quoc
25062,12.25,109.2,Nha Trang
25074,9.6,123.85,Tagbilaran
25219,13.4333,-89.05,El Salvador Intl. Airport / Comalapa
25226,10.0,-83.05,Puerto Limon
25233,10.45,-75.5167,Cartagena / Rafael Nunez
25235,10.4333,-73.25,Valledupar / Alfonso Lopez
25239,10.0667,-69.3167,Barquisimeto
25241,10.1667,-67.9333,Valencia
25244,10.1167,-64.6833,Barcelona
25246,9.75,-63.1833,Maturin
25248,10.6167,-61.35,"Piarco International Airport, Trinidad"
25294,10.9333,-14.3167,Boke
25296,10.05,-12.8667,Kindia
25298,10.0333,-10.75,Faranah / Badala
25300,10.3833,-9.3,Kankan
25305,10.3333,-3.1833,Gaoua
25307,10.05,-2.5,Wa
25310,9.7667,1.1,Niamtougou
25311,10.3167,1.3833,Natitingou
25329,11.0333,20.2833,Am-Timan
25415,10.8167,106.6667,Ho Chi Minh
25433,10.3,123.9667,Mactan
25435,9.8,125.5,Surigao
25583,10.6167,-85.4333,Liberia
25587,12.5833,-81.7167,San Andres Isla / Sesquicentenario
25593,10.8833,-74.7833,Barranquilla / Ernestocortissoz
25595,11.5333,-72.9333,Riohacha / Almirante Padilla
25596,10.5667,-71.7333,Maracaibo-La Chinita
25598,11.4167,-69.6833,Coro
25601,10.6,-66.9833,Caracas / Maiquetia Aerop. Intl. Simon Bolivar
25607,11.15,-60.85,Crown Pt. / Bon Accord Village
25610,13.0667,-59.4833,Grantley Adams
25655,11.3167,-12.3,Labe
25659,11.4333,-9.1667,Siguiri
25660,11.4167,-7.5,Bougouni
25662,11.35,-5.6833,Sikasso
25663,11.1667,-4.3167,Bobo-Dioulasso
25666,11.15,-1.15,Po
25667,10.9,-1.1,Navrongo
25671,11.1333,2.9333,Kandi
25672,11.8833,3.45,Gaya
25679,11.85,13.0833,Maiduguri
25686,12.1833,18.6833,Mongo
25692,12.05,24.8833,Nyala
25707,11.0833,39.7167,Combolcha
25773,11.55,104.85,Phnom-Penh / Pochentong
25793,11.25,125.0,Tacloban
25932,14.7943,-92.3698,Tapachula / Santa Lucrecia del Valle
25941,12.15,-86.1667,Managua A. C. Sandino
25942,12.1,-85.3667,Juigalpa
25948,13.3667,-81.35,Providencia Isla / El Embrujo
25958,12.2,-68.9667,"Hato Airport, Curacao"
25959,12.15,-68.2833,"Flamingo Airport, Bonaire"
25964,12.0,-61.7833,Point Salines Airport
26011,11.8833,-15.65,Bissau Aeroport
26014,12.5667,-12.2167,Kedougou
26016,12.85,-11.2333,Kenieba
26019,12.5333,-7.95,Bamako / Senou
26021,12.3833,-5.4667,Koutiala
26024,11.75,-2.9333,Boromo
26025,12.35,-1.5167,Ouagadougou
26027,12.0333,0.3667,Fada N'Gourma
